ID,Training Name,Category,Group,Requirement / Reference,
NC004,LPG Tanker Cargo & Ballast Handling Simulator,Industry (N),Cargo (C),IMO Model Course 1.35 ,
NC005,Bulk Carrier Ballast & Stress Simulator,Industry (N),Cargo (C),,
NC006,Container Ship Stability & Ballast Simulator,Industry (N),Cargo (C),,
NC007,General Cargo Ship Ballast & Stability Simulator,Industry (N),Cargo (C),,
NC008,Ballast Water Management Simulator,Industry (N),Cargo (C),,
NC009,Integrated Cargo & Ballast Emergency Simulator,Industry (N),Cargo (C),,
NC010,Ship-to-Ship (STS) Transfer Operations,Industry (N),Cargo (C),OCIMF STS Transfer Guide,
NC011,Emergency Shutdown (ESD) System Training,Industry (N),Cargo (C),,
NC012,Crude Oil Washing (COW) Operations,Industry (N),Cargo (C),MARPOL Annex I and ISGOTT guidelines,
NC013,Ballast Water Treatment System (BWTS) Training,Industry (N),Cargo (C),IMO Ballast Water Management Convention,
NC014,Cranes & Cargo Gear Operator Training,Industry (N),Cargo (C),ILO/OSHA guidance,
ND001,Bridge Resource Management (BRM),Industry (N),Navigation (D),IMO Model Course 1.22,
ND002,Bridge Team Management (BTM),Industry (N),Navigation (D),IMO Model Course ,
ND003,Ship Handling and Manoeuvring,Industry (N),Navigation (D),IMO Model Course 1.22/1.23,
ND004,Manned Model Ship-Handling Training (Advanced),Industry (N),Navigation (D),OCIMF,
ND005,ECDIS Type-Specific Training,Industry (N),Navigation (D),OCIMF,
ND006,COLREGS Refresher Training,Industry (N),Navigation (D),,
ND007,Radar/ ARPA Operational Simulator,Industry (N),Navigation (D),,
ND008,Passage Planning,Industry (N),Navigation (D),,
ND009,Large Vessel Ship Handling Training,Industry (N),Navigation (D),OCIMF,
NE001,Engine Room Resource Management (ERM),Industry (N),Engine (E),IMO Model Course 2.07,
NE002,Electronic Engine Control Systems (ME Engines) Familiarization,Industry (N),Engine (E),,
NE003,Automation & Alarm Management Simulator,Industry (N),Engine (E),,
NE004,Fuel Changeover & Emissions Compliance Ops,Industry (N),Engine (E),,
NF001,Energy Efficiency & Emissions (EEXI/CII) Awareness,Industry (N),Environment (F),MARPOL Annex VI – SEEMP Part III (CII),
NF002,Volatile Organic Compounds (VOC) Management,Industry (N),Environment (F),,
NG001,Leadership and Teamwork (Operational Level),Industry (N),General (G),"STCW Tables A-II/1, A-III/1, A-II/2, A-III/2",
NG002,Leadership & Managerial Skills (Management Level),Industry (N),General (G),OCIMF,
NG003,Vetting & SIRE Inspection Familiarisation,Industry (N),General (G),OCIMF,
NG004,Media Response & Crisis Communications,Industry (N),General (G),TMSA,
NG005,Train-the-Trainer (Instructor Training),Industry (N),General (G),IMO Model Course 6.09,
NG006,Planned Maintenance System (PMS) Familiarization,Industry (N),General (G),TMSA,
NG007,Safety Management System Familiarization,Industry (N),General (G),TMSA,
NG008,Human factors & Error Management,Industry (N),General (G),,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
